1871,47.6224,71.4336,212.5201,0.3
1872,47.5486,71.3228,216.8635,0.3
1873,48.5620,72.8430,240.2745,0.3
1874,44.1988,66.2981,215.1849,0.3
1875,46.5699,69.8548,216.9593,0.3
1876,54.9476,82.4215,230.3675,0.3
1877,56.9948,89.2472,227.9792,0.3
1878,57.2874,86.9232,229.1497,0.3
1879,58.9787,176.9360,235.9146,0.2
1880,54.3591,81.5387,227.9115,0.3
1881,53.2550,88.2593,213.0201,0.3
1882,59.3687,89.9572,237.4748,0.3
1883,58.1890,88.4735,232.7562,0.3
1884,56.8997,85.3495,233.2792,0.3
1885,58.4715,91.3444,233.8861,0.3
1886,56.4975,88.3839,225.9901,0.3
1887,55.9991,83.9986,229.4829,0.3
1888,54.6919,82.0378,231.2385,0.3
1889,54.8322,82.2482,233.4724,0.3
1890,55.0646,84.9277,220.2584,0.3
1891,45.8021,68.7032,226.5988,0.3
1892,45.5636,68.3453,207.3753,0.3
1893,48.0997,72.1496,253.1362,0.3
1894,46.0843,69.1264,249.1579,0.3
1895,48.1518,72.2277,251.8884,0.3
1896,47.9016,71.8523,257.7248,0.3
1897,46.7578,70.1368,255.9557,0.3
1898,45.9549,68.9324,253.9099,0.3
1899,43.7275,65.5912,245.1506,0.3
1900,52.4287,78.6431,243.9855,0.3
1901,53.7376,80.6064,243.6533,0.3
1902,53.5313,80.2969,243.3180,0.3
1903,52.3139,78.4708,244.6312,0.3
1904,53.6377,80.4565,244.1886,0.3
1905,54.2992,81.4489,243.0334,0.3
1906,54.2765,81.4148,244.4639,0.3
1907,37.7648,56.6472,179.8993,0.3
1908,37.8738,56.8107,178.9558,0.3
1909,55.8118,83.7178,245.8204,0.3
1910,50.5237,75.7855,235.3500,0.3
1911,50.5150,75.7725,236.1134,0.3
1912,46.1857,69.2786,213.3199,0.3
1913,55.2969,82.9453,239.1093,0.3
1914,58.4714,87.7072,239.0749,0.3
1915,59.7851,90.2676,239.1402,0.3
1916,55.5990,171.6143,229.6220,0.2
1917,69.0017,119.9477,345.0084,0.2
1918,61.4368,225.2683,307.1841,0.2
1919,53.5898,196.4958,267.9488,0.2
1920,40.7928,149.5734,203.9638,0.2
1921,35.4754,130.0766,177.3772,0.2
1922,25.2029,79.1807,106.1697,0.2
1923,40.5870,148.8189,202.9348,0.2
1924,41.6839,152.8410,208.4195,0.2
1925,37.7351,121.3678,163.1842,0.2
1926,30.0901,45.1351,134.3844,0.3
1927,29.6385,108.6747,148.1927,0.2
1928,29.4381,44.1572,136.5207,0.3
1929,29.4943,44.2415,141.4361,0.3
1930,30.7774,46.1661,147.2441,0.3
1931,31.2782,46.9172,148.1593,0.3
1932,31.6661,47.4991,153.0529,0.3
1933,32.7373,49.1059,155.7293,0.3
1934,32.1874,48.2811,154.8073,0.3
1935,31.6933,47.5399,152.9598,0.3
1936,31.0085,46.5127,150.2898,0.3
1937,30.1965,45.2947,148.2856,0.3
1938,30.1957,45.2935,149.3429,0.3
1939,29.6399,44.4598,148.1896,0.3
1940,30.3277,45.4916,149.2096,0.3
1941,30.3624,45.5436,156.5065,0.3
1942,31.6143,47.4214,165.6469,0.3
1943,32.1556,48.2334,171.1189,0.3
1944,28.6362,42.9544,153.1570,0.3
1945,32.5435,48.8152,173.9255,0.3
1946,32.8680,49.3020,173.7994,0.3
1947,32.8132,49.2198,171.5887,0.3
1948,32.1560,48.2340,170.8007,0.3
1949,31.4244,47.1366,165.0841,0.3
1950,32.1813,48.2720,152.2975,0.3
1951,33.8258,50.7387,146.7366,0.3
1952,39.7474,59.6210,160.8599,0.3
1953,39.8089,59.7134,158.5001,0.3
1954,39.3891,59.0836,160.0662,0.3
1955,37.2020,55.8030,162.0940,0.3
1956,35.9641,53.9462,170.3417,0.3
1957,32.3119,48.4678,157.6629,0.3
1958,32.7192,49.0788,157.7160,0.3
1959,34.0009,51.0014,161.3964,0.3
1960,33.3653,50.0480,161.2003,0.3
1961,33.4788,50.2181,159.9974,0.3
1962,33.6153,50.4229,158.1641,0.3
1963,30.7643,46.1464,161.4277,0.3
1964,30.6254,45.9380,159.0580,0.3
1965,29.4917,44.2375,146.3704,0.3
1966,30.1640,45.2460,144.4218,0.3
1967,27.9843,41.9764,133.7347,0.3
1968,33.0188,49.5282,146.4004,0.3
1969,33.7339,50.6009,149.6729,0.3
1970,34.1360,51.2040,149.3441,0.3
1971,33.8857,50.8286,145.1265,0.3
1972,32.9606,49.4409,137.5772,0.3
1973,55.3200,82.9800,228.3835,0.3
1974,53.8081,80.7121,229.8983,0.3
1975,54.3928,88.6775,217.5711,0.3
1976,52.2110,78.3165,226.0561,0.3
1977,48.6006,72.9009,224.5269,0.3
1978,49.0396,73.5593,220.6680,0.3
1979,47.8089,71.7133,222.7047,0.3
1980,48.4061,72.6092,216.7402,0.3
1981,51.4648,147.8817,210.6783,0.3
1982,46.5257,117.8212,188.1431,0.3
1983,44.0787,144.3481,194.4828,0.2
1984,57.8008,164.4564,231.2033,0.3
1985,56.3600,88.7306,225.4400,0.3
1986,33.6121,50.4182,147.1620,0.3
