ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
1,1,1,1,43,69,77,29,1,42,30,8,3,2,20.3,1,15,0.24,14051,3,6,28,25,15,996,8342,2048,1994,4,667,218,716,0,0,0,0,3,5.45336,0,43,1,8
2,1,1,1,141,223,248,93,5,136,98,25,11,7,31.1,1,24,0.24,22071,8,19,90,81,50,1565,13102,3217,3132,7,1048,218,716,0,0,0,0,1,5.44111,0,141,2,25
3,1,1,1,256,406,452,170,8,248,178,46,20,12,14.7,1,2,0.24,1762,15,35,163,148,91,125,1045,257,250,1,84,218.08298,716.27252,0,0,0,0,1,5.41257,0,256,3,46
4,1,1,1,74,116,129,49,2,72,51,13,6,4,19.3,1,18,0.24,16937,4,10,47,42,26,1201,10055,2469,2403,5,804,191,314,0,0,0,0,2,5.45635,0,74,4,13
5,1,1,1,496,784,874,328,16,480,344,89,39,24,52.7,1,15,0.24,14723,29,68,315,286,176,1044,8740,2146,2089,5,699,191.0087,314.01431,0,0,63.13295,0,1,5.48443,0,496,5,90
6,1,1,1,2194,3217,3833,1660,0,2194,1172,651,244,127,29,7,8,0.14,2274,73,216,2202,896,446,146,322,1534,202,0,70,150,546,0,0,0,0,1,4.66107,0,2194,6,616
7,1,1,1,3657,5362,5807,2739,0,3657,2615,691,266,85,45,13,14,0.19,4857,161,399,2536,1800,911,347,590,3446,315,0,159,205,600,0,0,0,0,1,4.79331,0,3657,7,445
8,1,1,1,4261,6978,9192,2173,17,4244,3754,324,155,28,51,8,15,0.25,2663,350,792,2849,3263,1938,78,524,1345,582,2,132,116,443,0,0,0,0,2,4.34911,0,4261,8,2214
9,1,1,1,4952,8410,9050,3537,32,4920,3753,769,380,50,112,9,47,0.16,11990,358,904,4243,2326,1219,149,2677,3042,5844,0,278,95,157,0,23.43595,1781.25964,18.03404,2,4.58932,0,4952,9,640
10,1,1,1,1643,2807,2904,1356,9,1634,1043,290,214,96,73.5,7,35,0.15,7811,82,252,1244,1008,318,533,1624,1567,3385,12,690,89,273,0,0,604.27386,0,3,4.50066,0,1643,10,97
11,1,1,1,2656,4537,4693,2192,14,2642,1687,468,346,155,81,12,38,0.15,9125,132,407,2010,1630,514,622,1898,1831,3955,13,806,116,259,0,0,0,0,3,4.54921,0,2656,11,156
12,1,1,1,167,250,259,151,0,167,50,39,26,52,53.3,1,16,0.09,9167,2,3,152,88,14,301,4561,1435,2071,22,777,177,778,0,0,3005.15063,2079.79346,3,5.12652,0,167,12,9
13,1,1,1,163,247,256,149,0,163,49,38,25,51,26.5,1,19,0.09,11210,2,3,150,87,14,368,5578,1755,2532,27,950,177,778,0,303.48486,1504.37219,3346.96802,3,5.14603,0,163,13,9
14,1,1,1,121,182,188,110,0,121,36,28,19,38,30.6,1,26,0.09,15616,2,2,110,64,10,513,7769,2445,3527,38,1324,198.0088,819.03644,0,0,744.97064,220.06685,3,5.15788,0,121,14,6
15,1,1,1,767,1151,1196,696,0,767,230,178,119,240,28.5,3,14,0.09,7831,10,15,700,407,64,257,3896,1226,1769,19,664,198,819,0,0,0,0,3,5.11058,0,767,15,45
16,1,1,1,1319,2153,2275,1427,9,1310,300,206,318,495,123.4,6,72,0.08,37950,47,61,1468,593,106,4482,14707,2892,13635,83,2151,260.79288,845.98657,0,0,0,0,2,5.07109,0,1319,16,122
17,1,1,1,4248,6930,7324,4592,27,4221,965,665,1023,1595,152.3,21,36,0.08,20685,151,197,4725,1910,341,2443,8016,1576,7432,45,1173,178.29077,780.22656,1,0,0,0,1,5.12843,0,4248,17,394
18,1,1,1,291,476,820,394,15,276,62,43,48,138,107.3,2,50,0.06,10220,14,54,549,177,26,1193,2599,1225,3514,5,1684,124.63414,358.15915,1,0,0,0,3,4.44244,0,291,18,344
19,1,1,1,1208,1972,3401,1633,63,1145,257,179,199,573,125.4,9,74,0.06,15178,57,226,2275,735,108,1771,3859,1820,5219,7,2502,107.58026,295.18973,1,0,0,0,3,4.44473,0,1208,19,1429
20,1,1,1,2014,3332,3658,1357,140,1874,1325,314,168,207,98.3,12,35,0.39,9607,77,198,1178,859,1346,661,2523,2799,2101,16,1507,119.92297,329.05695,1,0,0,0,3,4.63788,0,2014,20,326
21,1,1,1,2398,3969,4357,1616,167,2231,1578,373,201,246,78.9,14,44,0.39,11376,91,235,1404,1024,1603,782,2988,3316,2488,18,1784,179.80569,518.95142,1,0,0,0,3,4.5982,0,2398,21,388
22,1,1,1,1212,1918,1936,929,86,1126,293,254,236,429,87.7,9,46,0.32,15525,30,38,511,835,522,413,8601,1687,2218,0,2606,191,525,0,0,0,0,3,4.77502,0,1212,22,18
23,1,1,1,470,743,749,360,34,436,113,99,92,166,90.8,4,20,0.32,7128,11,15,198,323,202,189,3950,774,1019,0,1196,164,409,1,0,0,0,1,4.81119,0,470,23,6
24,1,1,1,618,987,994,274,0,618,554,43,7,14,39,2,20,0.37,10278,31,46,208,385,324,309,6580,1144,1844,0,401,232,750,0,0,0,0,1,5.05426,0,618,24,7
25,1,1,1,1517,3308,3314,854,117,1400,1317,131,44,25,21,4,4,0.41,1019,108,400,621,930,1255,149,200,513,58,0,99,232,341,0,0,0,0,1,4.5884,0,1517,25,6
26,1,1,1,695,1487,1500,533,7,688,505,97,78,15,13,2,5,0.35,2711,47,161,378,440,474,112,1821,309,325,30,114,232,341,0,0,0,0,1,5.08988,0,695,26,13
27,1,1,1,1527,3142,3142,1215,64,1463,1049,224,118,136,26,8,6,0.37,654,96,339,759,889,1059,49,97,443,19,0,46,232,341,0,0,0,0,1,4.0267,0,1527,27,0
28,1,1,1,1858,3284,3286,1785,0,1858,528,273,325,732,44,20,5,0.27,1030,106,153,1264,991,772,8,182,621,188,0,31,150,546,0,0,0,0,1,4.4476,0,1858,28,2
29,1,1,1,3095,4677,5006,2613,0,3095,1206,765,655,469,37,15,4,0.18,1166,98,211,2519,1415,763,6,286,701,151,0,22,150,546,0,0,0,0,1,4.67778,0,3095,29,329
30,1,1,1,4181,7024,7553,3561,26,4155,2440,1003,529,209,46,14,10,0.14,1200,332,682,3756,1954,829,110,184,554,237,0,115,95,130,1,0,0,0,1,4.09015,0,4181,30,529
31,1,1,1,2546,3753,3834,1960,10,2536,1567,561,303,115,32,8,9,0.17,1233,121,234,1947,985,547,81,214,677,232,0,29,95,130,1,0,0,0,1,4.17767,0,2546,31,81
32,1,1,1,3073,5142,5165,3086,125,2948,1544,808,391,330,58,21,13,0.21,2274,118,359,2375,1370,943,122,375,1355,280,12,130,95,130,1,0,0,0,1,4.33931,0,3073,32,23
33,1,1,1,2475,4817,4827,2615,120,2355,996,553,507,419,59,23,9,0.21,961,139,376,2198,1260,854,75,227,395,147,0,117,95,102,1,0,0,0,1,4.01311,0,2475,33,10
34,1,1,1,2628,4320,4321,2533,0,2628,790,450,572,816,60,29,4,0.22,562,93,161,2192,1041,834,65,136,255,68,0,38,82,102,1,0,0,0,1,4.19434,0,2628,34,1
35,1,1,1,2338,4578,4578,2370,98,2240,768,537,371,662,58,30,2,0.24,470,154,410,1837,1234,943,10,100,162,132,0,66,109,109,1,0,0,0,1,4.53489,0,2338,35,0
36,1,1,1,2778,5592,5592,1829,60,2718,2040,338,219,181,47,14,7,0.38,1843,186,502,1384,1568,1952,142,221,906,432,0,142,171,239,1,0,0,0,1,4.61025,0,2778,36,0
37,1,1,1,2015,3892,3893,1992,51,1964,983,385,409,238,43,12,8,0.22,2059,129,370,1465,1194,735,59,620,1023,215,0,142,171,239,1,0,368.8822,0,1,4.59519,0,2015,37,1
38,1,1,1,2479,4531,4545,2619,41,2438,621,421,714,723,83,37,6,0.2,1006,166,286,1932,1406,755,61,464,217,191,0,73,109,450,1,0,0,0,1,4.31126,0,2479,38,14
39,1,1,1,2026,3852,3852,1921,131,1895,564,359,569,534,67,31,6,0.24,729,145,263,1572,1075,797,22,139,347,212,0,9,109,450,2,0,479.81412,82.97316,1,4.09835,0,2026,39,0
40,1,1,1,2544,4138,4143,2317,0,2544,607,412,551,974,128,43,28,0.22,1782,111,123,1978,1163,768,330,550,554,196,0,152,109,355,2,2158.34619,0,0,1,3.67279,0,2544,40,5
41,1,1,1,2090,3725,3739,1791,107,1983,854,391,467,378,183,20,90,0.24,6203,95,251,1661,950,782,364,1200,1663,2445,74,457,109,546,1,0,0,0,2,3.72506,0,2090,41,14
42,1,1,1,656,2182,2881,1234,120,536,126,121,164,245,628,100,484,0.02,301,108,407,2043,303,20,1,61,59,161,0,19,0,0,3,0,0,0,2,1.00425,0,656,42,699
43,2,2,1,3220,5222,5238,3003,369,2851,655,534,661,1370,199,57,5,0.18,1600,191,153,2915,1143,836,330,396,583,187,21,83,0,0,2,0,0,0,3,3.45592,0,3220,43,16
44,2,2,1,3585,5852,5933,3623,187,3398,730,790,908,1157,136,56,14,0.18,1749,128,174,3514,1206,911,37,521,723,381,23,64,75,102,2,0,0,0,2,4.11673,0,3585,44,81
45,2,2,1,2409,4044,4044,2492,117,2292,387,335,493,1194,93,40,15,0.16,2816,131,139,2225,1006,543,501,846,1136,272,0,61,0,102,1,0,0,0,1,4.35788,0,2409,45,0
46,2,2,1,3971,6327,6436,3779,72,3899,844,621,945,1561,102,42,8,0.18,2217,160,240,3357,1707,972,75,956,560,586,0,40,75,102,1,0,0,0,1,4.64423,0,3971,46,109
47,2,2,1,1622,2525,2555,1397,17,1605,207,246,355,814,56,24,11,0.18,4142,94,91,1249,732,389,169,594,3216,123,0,40,0,123,2,646.79535,0,0,1,7.23114,0,1622,47,30
48,2,2,1,1979,3555,3599,2090,169,1810,358,359,403,859,88,40,4,0.15,1069,150,185,1879,963,422,81,197,653,82,0,56,0,123,2,455.80884,0,0,1,3.3449,0,1979,48,44
49,2,2,1,2260,4134,4162,2206,375,1885,99,165,271,1725,135,76,6,0.19,1421,217,328,1653,1340,624,36,330,849,164,0,42,0,123,2,239.03116,0,0,1,2.51287,0,2260,49,28
50,2,2,1,2363,4104,4107,2457,299,2064,210,324,368,1461,121,59,12,0.19,1768,184,224,1967,1061,671,200,434,965,104,0,65,0,0,2,0,0,0,1,2.95965,0,2363,50,3
51,2,2,1,2098,3483,3493,2007,224,1874,353,342,471,932,107,46,15,0.18,800,168,118,1895,778,534,27,236,439,90,0,8,0,0,2,0,0,0,3,2.44367,0,2098,51,10
52,2,2,1,1110,3227,3236,1831,305,805,209,253,320,328,1491,57,280,0.02,940,270,384,2184,366,32,18,153,305,323,0,141,0,0,3,0,0,0,1,1.18204,0,1110,52,9
53,2,2,1,35,45,170,50,0,35,25,4,6,0,1097,5,13,0.04,543,2,4,118,44,2,40,0,485,0,0,18,0,0,3,0,0,0,2,2.35458,0,35,53,125
54,2,2,1,2670,6322,6400,3291,1169,1501,689,588,809,584,257,105,4,0.23,662,249,720,2326,1873,1232,128,164,237,107,0,26,0,0,3,0,0,0,1,2.16635,0,2670,54,78
55,2,2,1,1508,3536,3536,1650,759,749,375,383,403,347,97,58,1,0.22,234,168,403,1242,1081,642,21,124,64,10,0,15,0,0,3,0,0,0,1,2.09678,0,1508,55,0
56,2,2,1,62,129,319,168,14,48,15,11,5,31,250,2,157,0.45,300,5,19,67,94,134,0,141,0,159,0,0,0,0,3,0,0,0,1,1.01286,0,62,56,190
57,2,2,1,934,2376,2376,1037,685,249,8,10,63,853,137,80,3,0.24,482,188,355,564,799,470,40,182,151,99,0,10,0,0,3,0,0,0,1,1.63826,0,934,57,0
58,2,2,1,2352,5295,5325,2686,316,2036,751,448,677,476,104,54,11,0.21,897,201,643,2069,1479,933,63,95,393,334,0,12,0,0,3,0,0,0,1,2.89654,0,2352,58,30
59,2,2,1,3131,7585,7661,3849,1369,1762,799,854,814,664,200,110,21,0.23,904,315,903,2737,2228,1478,9,153,576,130,0,36,0,0,3,2802.7959,0,0,1,2.19784,0,3131,59,76
60,2,2,1,1554,3822,3823,1932,673,881,421,389,361,383,87,55,2,0.22,187,177,435,1447,1030,734,0,36,76,54,0,21,0,0,2,0,0,0,1,2.18992,0,1554,60,1
61,2,2,1,1869,4331,4334,2133,431,1438,710,423,440,296,90,54,4,0.23,458,187,507,1645,1131,864,129,95,176,44,0,14,0,0,2,0,0,0,1,2.5195,0,1869,61,3
62,2,2,1,3090,6923,6930,3526,461,2629,790,715,806,779,158,80,11,0.2,1393,342,770,2718,1967,1133,196,360,581,176,0,80,0,0,2,0,0,0,2,2.8622,0,3090,62,7
63,2,2,1,2173,5131,5138,2606,684,1489,535,546,572,520,129,71,5,0.21,561,252,577,1938,1462,909,44,230,159,95,0,33,0,0,2,0,0,0,1,2.37516,0,2173,63,7
64,2,2,1,2735,6463,6473,3128,649,2086,893,660,467,715,146,80,6,0.2,1037,277,784,2604,1707,1101,102,176,387,291,39,42,0,0,2,0,0,0,2,2.70748,0,2735,64,10
65,2,2,1,2352,5165,5191,2608,351,2001,557,687,364,744,136,56,14,0.18,1985,284,529,2218,1385,775,405,561,581,304,0,134,0,0,2,0,0,0,2,3.3881,0,2352,65,26
66,2,2,1,1863,4006,4088,2069,307,1556,657,345,417,444,105,49,15,0.19,1485,176,440,1737,1070,665,227,283,766,177,0,32,0,0,2,0,0,0,2,2.99029,0,1863,66,82
67,2,2,1,2150,4987,4996,2572,469,1681,637,571,432,510,96,53,7,0.17,924,218,563,2181,1308,726,138,207,469,68,0,42,0,0,2,0,0,0,2,2.9883,0,2150,67,9
68,2,2,1,1272,2718,2729,1502,245,1027,291,317,273,391,72,34,4,0.16,329,99,216,1382,657,375,38,95,97,77,5,17,0,0,3,0,0,0,1,2.50225,0,1272,68,11
69,2,2,1,2575,5420,7832,3788,636,1939,767,551,615,642,208,97,46,0.13,4623,230,1422,3913,1372,895,148,325,3717,313,5,115,0,0,2,718.27594,6003.97949,1028.17041,1,3.22567,0,2575,69,2412
70,2,2,1,2839,5612,5621,3175,451,2388,701,522,657,959,182,82,29,0.19,4483,270,443,2628,1389,891,482,835,2089,476,0,601,0,0,1,0,0,0,1,3.50071,0,2839,70,9
71,2,2,1,1887,3977,4232,1987,537,1350,34,79,158,1616,145,72,11,0.21,3144,239,469,1515,1272,737,245,596,2065,212,0,26,0,0,2,0,0,0,1,3.39903,0,1887,71,255
72,2,2,1,957,1894,2040,1213,211,746,224,199,217,317,59,21,13,0.23,1417,54,101,981,485,419,33,224,1022,126,5,7,0,111,1,214.43214,0,0,1,3.71678,0,957,72,146
73,2,2,1,2430,3845,3935,2154,233,2197,853,455,519,603,69,32,9,0.26,1280,83,139,1830,988,895,185,268,681,132,5,9,68,123,1,0,0,0,1,4.2024,0,2430,73,90
74,2,2,1,2176,3473,3622,1318,115,2061,1085,444,349,298,84,17,24,0.4,4033,105,231,1263,658,1365,128,409,2667,820,0,9,34,117,1,0,0,0,1,4.31274,0,2176,74,149
75,2,2,1,1655,2355,2493,1190,0,1655,505,325,387,438,44,10,13,0.36,3966,39,61,1009,556,828,192,1073,1219,1462,10,10,68,123,1,0,0,0,1,4.70799,0,1655,75,138
76,2,2,1,1633,2452,2464,1148,7,1626,633,318,389,293,41,7,13,0.25,2830,47,80,1083,713,541,74,681,615,1450,0,10,75,123,2,1433.03357,0,0,1,4.48418,0,1633,76,12
77,2,2,1,2285,4266,4351,1945,82,2203,1013,548,427,297,69,15,25,0.24,979,179,414,1778,1037,943,75,260,476,157,0,11,75,123,2,0,0,0,1,3.3559,0,2285,77,85
78,2,2,1,2756,5355,5366,1668,310,2446,1912,375,254,215,91,22,9,0.31,483,269,745,1656,1170,1526,7,129,187,160,0,0,75,123,2,0,0,0,2,3.5612,0,2756,78,11
79,2,2,1,1594,2502,2541,1536,94,1500,653,570,242,129,68,9,25,0.1,3060,64,200,1438,652,187,101,402,1954,598,1,4,95,123,1,312.85733,0,0,3,4.10323,0,1594,79,39
80,2,2,1,2047,4212,4292,2299,338,1709,841,424,473,309,59,31,6,0.1,386,186,461,2446,888,311,9,164,193,3,5,12,75,116,2,0,0,0,1,3.67987,0,2047,80,80
81,2,2,1,3438,6249,6482,4027,337,3101,1099,963,800,576,110,38,21,0.09,2971,191,440,3937,1498,416,80,681,1295,787,1,127,48,68,1,0,0,0,1,4.19892,0,3438,81,233
82,2,2,1,1589,2907,2924,1772,67,1522,391,377,417,404,76,29,15,0.12,1044,62,91,1759,733,279,207,216,455,148,1,17,48,68,1,0,0,0,1,3.73148,0,1589,82,17
83,2,2,1,2125,3689,3688,2163,480,1645,381,385,489,870,119,60,2,0.16,861,89,107,1716,1324,452,16,242,507,61,1,34,0,0,3,0,0,0,1,2.51497,0,2125,83,-1
84,2,2,1,2277,4565,4652,2909,157,2120,470,505,638,664,117,42,4,0.08,685,122,274,2959,1051,246,73,234,264,54,1,59,48,68,1,0,0,0,1,4.32526,0,2277,84,87
85,2,2,1,1811,3560,3778,2132,71,1740,560,430,474,347,77,26,11,0.15,838,80,186,2364,672,476,154,128,377,128,5,46,75,116,2,0,0,0,1,3.79082,0,1811,85,218
86,2,2,1,3126,6395,6559,3471,135,2991,1159,705,740,522,125,51,16,0.11,1291,268,770,3361,1583,577,23,123,985,136,5,19,0,0,2,0,0,0,1,3.40556,0,3126,86,164
87,2,2,1,2344,4737,5083,2821,138,2206,828,591,421,504,93,43,14,0.17,2031,168,255,2859,1078,723,42,306,1556,105,5,17,0,0,2,0,0,0,1,3.95826,0,2344,87,346
88,2,2,1,2480,4999,5070,3421,152,2328,628,508,538,806,85,40,11,0.06,1407,151,203,3432,1079,205,468,251,496,133,1,58,0,0,2,296.44824,0,0,2,3.78874,0,2480,88,71
89,2,2,1,3415,6887,6995,4412,526,2889,545,684,912,1274,150,89,5,0.1,1108,291,470,3911,1826,497,115,234,590,161,1,7,0,0,2,120.68835,0,0,1,2.68121,0,3415,89,108
90,3,3,1,1997,4113,4234,2484,215,1782,491,496,502,508,86,42,9,0.09,5899,155,303,2496,988,292,151,354,5018,337,0,39,0,0,1,0,0,0,1,7.2883,0,1997,90,121
91,3,3,1,2203,4480,4838,2333,843,1360,478,426,559,740,320,91,100,0.17,6106,303,432,2141,1259,703,54,407,5494,107,0,44,0,0,1,0,3148.54736,0,1,2.70471,0,2203,91,358
92,3,3,1,1006,2155,3046,862,862,144,254,155,254,343,283,83,75,0.46,2015,93,272,583,800,1298,10,90,1497,399,0,19,0,0,3,0,0,0,1,1.77592,0,1006,92,891
93,3,3,1,4000,6842,6843,4283,924,3076,596,774,1375,1255,227,109,1,0.13,755,137,211,3596,2240,659,50,185,424,72,0,24,0,0,3,0,0,0,1,2.26026,0,4000,93,1
94,3,3,1,1325,2483,2583,1546,236,1089,290,308,329,398,68,36,5,0.13,1016,56,81,1331,867,248,167,214,534,62,3,36,0,61,2,0,0,0,1,3.04298,0,1325,94,100
95,3,3,1,1396,2764,2779,1542,565,831,199,225,362,610,86,51,3,0.13,535,134,206,1278,894,267,46,137,195,153,2,2,0,0,3,0,0,0,1,2.2064,0,1396,95,15
96,3,3,1,1171,2474,2475,1434,515,656,139,232,283,517,75,44,1,0.12,412,133,197,1190,731,224,38,175,139,50,2,8,0,0,3,0,0,0,1,2.23486,0,1171,96,1
97,3,3,1,1619,3262,3263,1873,411,1208,411,254,320,634,84,47,5,0.12,637,172,226,1641,928,296,144,140,236,87,3,27,0,0,3,0,0,0,1,2.50078,0,1619,97,1
98,3,3,1,1863,3852,3853,2078,459,1404,405,367,473,618,106,60,5,0.12,782,180,272,1932,1124,345,142,250,296,91,3,0,0,0,3,0,0,0,1,2.43173,0,1863,98,1
99,3,3,1,2005,4024,4195,2442,18,1987,556,638,415,396,72,38,4,0.11,718,195,324,2321,986,369,136,181,264,65,2,70,0,68.47686,2,294.10272,0,0,1,3.34636,0,2005,99,171
100,3,3,1,1742,4306,4372,2482,88,1654,706,458,357,221,80,27,19,0.13,1319,260,592,2132,928,460,189,213,713,151,0,53,0,68,1,0,0,0,2,3.76034,0,1742,100,66
101,3,3,1,2543,6445,6577,3664,225,2318,1163,616,514,250,87,33,19,0.12,2267,423,1009,3212,1269,664,428,394,873,260,0,312,0,68,1,0,551.96869,94.70403,2,4.94074,0,2543,101,132
102,3,3,1,2718,5126,5171,3282,166,2552,651,762,818,487,81,45,3,0.12,948,160,344,2934,1233,500,104,372,267,147,2,56,0,71.78619,2,0,0,0,1,3.59508,0,2718,102,45
103,3,3,1,2594,4704,4711,2999,498,2096,582,458,722,832,137,67,8,0.13,887,124,155,2599,1366,467,117,309,373,55,3,30,0,61,2,1006.52454,0,0,1,2.48369,0,2594,103,7
104,3,3,1,1661,3009,3033,1953,59,1602,404,387,442,428,68,24,13,0.11,1413,56,123,1777,835,242,147,117,857,248,11,33,0,61,2,0,0,0,1,3.94438,0,1661,104,24
105,3,3,1,3228,6181,6270,3382,149,3079,1388,772,664,404,80,34,10,0.14,2381,238,585,3237,1483,727,228,348,1041,684,2,78,67.58604,95.74689,1,0,0,0,1,4.54358,0,3228,105,89
106,3,3,1,2948,5888,6172,2966,186,2762,1821,503,378,246,110,21,38,0.14,12713,393,908,2718,1482,671,749,1185,3140,7287,1,351,107.62328,152.46632,1,0,0,0,2,4.76919,0,2948,106,284
107,3,3,1,744,1851,2128,1025,82,662,98,245,247,154,223,10,106,0.1,14854,98,273,1097,491,169,1841,2772,2024,5922,39,2256,54.10472,76.64835,1,0,188.49577,0,2,4.19261,0,744,107,277
108,3,3,1,447,817,927,623,0,447,237,112,12,86,113.7,7,103,0.17,4260,28,88,444,238,129,460,1288,848,936,1,727,0,0,2,0,900.09839,119.95353,3,2.70461,0,447,108,110
109,3,3,1,3279,5994,6799,4572,0,3279,1736,823,91,629,142.8,21,135,0.17,4908,208,644,3259,1744,944,530,1484,977,1079,1,837,68.01318,136.02635,2,0,0,0,3,3.3077,0,3279,109,805
110,3,3,1,654,1196,1356,913,0,654,346,164,18,126,263.89999,7,33,0.17,1360,41,128,651,348,188,147,411,271,299,0,232,0,0,3,0,0,0,3,2.93907,0,654,110,160
111,3,3,1,815,1494,1534,1108,107,708,76,110,178,451,327,10,211,0.09,4575,63,65,902,409,95,302,820,940,873,31,1609,0,0,3,0,0,0,2,1.90527,0,815,111,40
112,3,3,1,981,2013,2060,1126,326,655,128,189,174,490,67,28,10,0.14,1016,84,106,1059,582,229,57,283,388,136,0,152,0,0,3,0,199.32356,36.07729,1,2.97603,0,981,112,47
113,3,3,1,2338,5354,5359,2577,886,1452,877,448,377,636,186,82,27,0.1,763,473,885,2317,1309,375,47,141,299,140,0,136,0,0,3,0,0,0,1,2.04214,0,2338,113,5
114,3,3,1,1627,3150,3157,1870,632,995,310,322,335,660,146,48,20,0.15,1240,120,185,1504,984,364,101,461,444,95,0,139,0,0,3,0,0,0,1,2.47742,0,1627,114,7
115,3,3,1,593,1623,2099,652,150,443,167,104,128,194,74,17,26,0.14,4353,104,289,891,595,220,44,348,3680,200,0,81,0,0,1,0,0,0,1,6.08132,0,593,115,476
116,3,3,1,1850,5010,5077,2990,281,1569,529,363,566,392,143,36,49,0.09,3708,406,806,2461,1072,332,283,739,889,1252,0,545,0,0,1,0,0,0,2,3.79571,0,1850,116,67
117,3,3,1,1531,4540,4595,2193,402,1129,452,562,307,210,70,35,9,0.1,410,373,826,2099,928,369,25,62,217,64,0,42,0,0,1,0,0,0,3,3.09065,0,1531,117,55
118,3,3,1,1410,4608,4640,2488,229,1181,448,384,309,269,62,27,8,0.09,319,389,813,2240,886,312,32,44,153,63,0,27,0,0,2,0,0,0,3,3.56508,0,1410,118,32
119,3,3,1,802,2548,2616,1249,169,633,254,134,313,101,39,20,4,0.11,345,206,475,1141,560,234,29,25,268,0,0,23,0,0,2,0,0,0,3,3.38617,0,802,119,68
120,3,3,1,1118,3342,3384,1715,307,811,278,238,282,320,78,30,10,0.11,343,261,637,1523,680,283,72,40,171,53,0,7,0,0,2,0,0,0,2,2.71821,0,1118,120,42
121,3,3,1,1269,3012,3077,1583,853,416,301,267,288,413,140,52,11,0.16,430,151,346,1238,941,401,21,114,57,191,0,47,0,0,3,0,0,0,1,2.02908,0,1269,121,65
122,3,3,1,2125,5159,5369,2882,1220,905,435,463,666,561,160,72,5,0.14,692,334,669,2268,1511,587,42,206,341,68,12,23,0,0,3,0,0,0,1,2.48051,0,2125,122,210
123,3,3,1,1767,4229,4362,2281,598,1169,473,371,540,383,89,37,16,0.14,1978,278,510,1940,1163,471,128,275,1410,115,12,38,0,0,1,0,0,0,1,3.91274,0,1767,123,133
124,3,3,1,1276,3388,3404,1705,708,568,476,307,226,267,94,39,3,0.13,403,223,558,1431,853,339,59,48,219,42,12,23,0,0,3,0,0,0,1,2.70101,0,1276,124,16
125,3,3,1,1060,2906,2913,1539,818,242,263,202,361,234,82,38,3,0.17,209,190,457,1033,826,407,9,60,101,19,12,8,0,0,3,0,0,0,1,2.33624,0,1060,125,7
126,3,3,1,1436,4252,4268,1743,849,587,593,266,382,195,122,63,1,0.15,114,329,746,1564,1091,538,16,17,44,7,12,18,0,0,3,0,0,0,1,2.11899,0,1436,126,16
127,3,3,1,1768,3814,3840,2104,975,793,363,210,494,701,128,71,6,0.14,550,211,374,1640,1205,410,41,172,258,22,2,55,0,0,2,0,0,0,1,2.06037,0,1768,127,26
128,3,3,1,2449,5049,5095,2887,628,1821,537,571,660,681,119,69,4,0.14,440,261,453,2488,1351,542,59,195,136,40,2,8,0,0,3,0,0,0,1,2.35462,0,2449,128,46
129,3,3,1,2026,3836,3836,2074,800,1226,342,410,451,823,148,76,1,0.19,297,157,287,1504,1304,584,19,119,81,44,2,32,0,0,2,0,0,0,1,1.91843,0,2026,129,0
130,3,3,1,1798,3948,3949,1919,1245,553,401,362,458,577,307,103,43,0.2,666,191,455,1243,1437,623,73,175,231,117,3,67,0,0,2,1334.6084,0,0,1,1.55768,0,1798,130,1
131,3,3,1,2651,6343,6343,3007,2553,98,515,386,682,1068,348,199,1,0.24,495,327,718,1773,2283,1242,18,256,106,85,0,30,0,0,3,0,0,0,1,1.54825,0,2651,131,0
132,3,3,1,1271,3490,3493,1618,1118,153,271,208,267,525,205,103,15,0.2,1283,205,508,1058,1137,585,159,188,291,634,3,8,0,0,3,824.90082,0,0,1,1.87246,0,1271,132,3
133,3,3,1,2462,6191,6193,3035,1796,666,552,485,726,699,280,116,67,0.17,1883,331,788,2239,1984,851,190,244,1201,158,3,87,0,0,3,0,6252.00537,19709.32227,1,1.92023,0,2462,133,2
134,3,3,1,2469,8407,8471,3389,2071,398,721,603,698,447,254,118,17,0.19,899,530,1315,2856,2421,1349,236,303,213,109,3,35,0,0,3,0,0,0,1,2.26075,0,2469,134,64
135,3,3,1,1519,5858,5864,2201,1032,487,322,494,353,350,100,59,6,0.17,511,383,1130,2051,1478,822,132,141,191,15,0,32,0,0,3,0,0,0,1,2.784,0,1519,135,6
136,3,3,1,955,3130,3545,1279,928,27,261,271,208,215,87,50,9,0.29,378,220,498,1038,851,938,0,5,332,25,0,16,0,0,3,0,0,0,1,2.20417,0,955,136,415
137,3,3,1,1558,5611,5618,2258,1479,79,405,301,449,403,137,84,4,0.2,278,350,935,1841,1570,922,51,36,124,64,0,3,0,0,3,0,0,0,1,2.12925,0,1558,137,7
138,3,3,1,2560,9379,9454,3537,2072,488,856,657,682,365,292,120,26,0.19,1245,674,1647,3125,2476,1532,131,170,620,221,0,103,0,0,3,0,0,0,1,2.37537,0,2560,138,75
