ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
467,10,10,3,1915,4361,4379,2093,841,1074,853,370,376,316,328,176,96,0.16,4272,332,708,1755,975,609,422,1713,751,856,61,469,0,0,3,0,0,0,3,1.84808,0,1915,467,18
468,10,10,3,2217,5559,5734,2376,848,1369,720,699,421,377,352,258,83,0.16,1365,379,913,2358,1302,782,181,351,737,69,0,27,0,0,3,0,0,0,3,1.35799,0,2217,468,175
469,10,10,3,2500,7591,7711,3056,609,1891,960,749,586,205,211,178,33,0.11,1322,624,1517,3386,1460,724,164,585,403,109,0,61,0,0,3,0,0,0,3,1.7939,0,2500,469,120
470,10,10,3,2487,6388,6388,2837,1691,796,597,589,662,639,506,468,32,0.19,1252,413,1133,2202,1585,1055,129,548,435,105,0,35,0,0,4,0,0,0,3,1.22429,0,2487,470,0
471,10,10,3,2327,5259,5334,2445,649,1678,858,604,550,315,367,252,62,0.19,3087,298,670,2263,1232,871,793,473,1610,146,5,60,0,0,4,0,0,0,3,1.61114,0,2327,471,75
472,10,10,3,2071,4958,4958,2472,647,1424,700,509,528,334,272,188,82,0.09,1809,368,832,2344,1080,334,169,892,519,122,1,106,0,0,4,244.93225,0,0,3,1.50035,0,2071,472,0
473,10,10,3,2490,7182,7191,2750,733,1757,1036,650,541,263,272,204,57,0.12,620,557,1546,2941,1414,733,18,137,290,45,1,129,0,0,4,0,0,0,3,1.47249,0,2490,473,9
474,10,10,3,1528,3932,3941,1868,835,693,425,440,317,346,251,217,34,0.12,224,276,775,1489,1026,375,23,35,131,20,0,15,0,0,4,0,0,0,3,1.20533,0,1528,474,9
475,10,10,3,1693,4482,4482,1878,1035,658,569,389,463,272,388,246,122,0.17,2164,281,892,1553,1134,622,957,273,673,197,1,63,0,0,4,0,0,0,3,1.35899,0,1693,475,0
476,10,10,3,2505,6736,6960,2672,1784,721,654,556,504,791,616,449,146,0.26,2536,417,1160,2006,1747,1630,487,580,922,432,1,114,0,0,4,0,0,0,3,1.28124,0,2505,476,224
477,10,10,3,2109,6055,6065,2456,1640,469,589,452,528,540,463,362,75,0.18,657,385,1193,1958,1601,928,41,137,432,43,1,3,0,0,3,1684.5061,0,0,3,1.20027,0,2109,477,10
478,10,10,3,2418,6163,6163,2632,365,2053,666,575,728,449,266,168,28,0.09,2495,455,1003,3097,1182,426,984,581,526,282,1,121,0,0,3,0,0,0,3,1.9838,0,2418,478,0
479,10,10,3,2827,8283,8313,3367,1828,999,687,527,708,905,542,438,101,0.12,1397,534,1801,3087,2145,746,182,477,424,168,0,146,0,0,4,1650.99548,0,0,3,1.27351,0,2827,479,30
480,10,10,3,1095,3367,3366,1293,1095,0,205,142,192,556,319,246,62,0.19,303,161,794,771,1108,532,14,58,171,55,0,5,0,0,4,0,0,0,3,1.1273,0,1095,480,-1
481,10,10,3,1619,4828,4828,1883,1613,6,252,289,411,667,372,306,56,0.19,755,220,1126,1103,1663,716,164,161,254,101,0,75,0,0,4,1922.50842,0,0,3,1.21596,0,1619,481,0
482,10,10,3,1425,4455,4460,1688,1415,10,300,277,260,588,342,322,5,0.2,207,241,1033,1138,1301,747,0,77,59,65,0,6,0,0,4,0,0,0,3,1.15879,0,1425,482,5
483,10,10,3,2108,5784,5785,2298,1058,1050,660,369,498,581,354,169,115,0.15,1092,268,1290,1869,1645,713,260,192,504,57,0,79,0,0,4,0,0,0,3,1.41225,0,2108,483,1
484,10,10,3,2732,7353,7377,2614,1827,905,753,347,652,980,550,397,143,0.2,3177,487,1403,2319,1935,1233,367,1116,699,781,5,209,0,0,3,0,0,0,3,1.38455,0,2732,484,24
485,10,10,3,2286,6727,6741,2352,1664,622,611,341,435,899,650,308,282,0.18,5562,468,1317,2181,1786,989,1032,1201,1498,288,2,1541,0,0,3,0,0,0,3,1.49829,0,2286,485,14
486,10,10,3,1953,5889,5889,2081,831,1122,455,338,464,696,462,307,107,0.12,2197,325,1460,2052,1545,507,374,709,457,400,0,257,0,0,3,0,0,0,3,1.36948,0,1953,486,0
487,10,10,3,2017,5389,5397,1992,930,1087,562,379,536,540,524,294,73,0.16,666,305,1043,1874,1493,682,147,109,314,69,9,18,0,0,3,2239.07129,0,0,2,1.22783,0,2017,487,8
488,10,10,3,2741,7474,7706,2904,2175,566,470,378,647,1246,1642,705,20,0.21,641,329,1518,1917,2581,1361,19,149,247,132,33,61,0,0,4,0,0,0,1,1.11788,0,2741,488,232
489,10,10,3,2054,6126,6126,2466,2053,1,289,207,314,1244,1944,785,55,0.17,526,262,1518,1272,2308,766,5,116,321,54,7,23,0,0,4,2458.58301,0,0,1,1.04952,0,2054,489,0
490,10,10,3,1362,4039,4039,1590,1223,139,263,123,260,716,651,392,210,0.18,3266,181,911,1009,1373,565,356,591,1521,405,0,393,0,0,4,0,6928.28369,16390.77734,2,1.24552,0,1362,490,0
491,10,10,3,1029,3219,3220,1060,805,224,236,242,215,336,244,211,13,0.17,334,153,836,840,951,440,75,68,81,84,0,26,0,0,4,0,0,0,2,1.20826,0,1029,491,1
492,10,10,3,1760,5508,5509,2076,1496,264,324,271,432,733,419,372,5,0.15,594,266,1406,1515,1661,661,160,159,215,25,0,35,0,0,4,0,0,0,2,1.21597,0,1760,492,1
493,10,10,3,1915,5619,5624,2071,1900,15,344,173,280,1118,808,635,77,0.23,1570,244,1200,1139,1978,1063,73,859,301,230,0,107,0,0,4,1702.98621,0,0,3,1.12771,0,1915,493,5
494,10,10,3,1989,5809,5811,2010,1907,82,334,242,271,1142,905,817,88,0.24,1741,250,1364,1068,1971,1158,142,775,520,259,0,45,0,0,4,1400.2832,0,0,2,1.09025,0,1989,494,2
495,10,10,3,1971,5563,5563,2142,1862,109,296,115,290,1270,3410,1358,26,0.22,1052,226,1177,1044,2156,960,40,582,157,202,20,51,0,0,5,0,0,0,1,0.99907,0,1971,495,0
496,10,10,3,1018,2650,2724,1103,940,78,37,33,88,860,2947,1297,33,0.24,1299,107,492,510,1080,535,56,478,603,77,0,85,0,0,5,0,0,0,1,0.97451,0,1018,496,74
497,10,10,3,2463,6461,6556,2473,2291,172,538,226,322,1377,2097,1844,226,0.28,2184,283,1270,1153,2273,1577,81,487,1118,336,4,158,0,0,4,0,2820.56445,7075.64893,1,0.99709,0,2463,497,95
498,10,10,3,1463,3857,3881,1700,1353,110,292,218,244,709,570,413,83,0.23,1960,247,692,1034,1154,754,162,1059,418,166,0,155,0,0,4,0,0,0,3,1.20141,0,1463,498,24
499,10,10,3,2566,7312,7325,3144,2132,434,684,478,690,714,606,504,91,0.15,1349,536,1489,2386,2032,882,278,329,555,148,0,39,0,0,4,0,0,0,3,1.20614,0,2566,499,13
500,10,10,3,1349,3954,3955,1820,1216,133,271,270,305,503,394,310,43,0.13,262,275,838,1265,1189,388,12,61,127,59,0,3,0,0,4,1940.9884,0,0,3,1.12166,0,1349,500,1
