bridgeID,StructureID,Start Node,End Node,"Millbrae-Richmond (1=yes, 0=no)",Richmond-Fremont,SFO-Bay Point,Bay Point-Montgomery,Bay Point-Daly City,Concord-Daly City,Concord-24th St,Pleasant Hill - Daly City,Pleasant Hill - Montgomery,Montogmery- Concord,24th st- bay point,daly city - dublin,daly city - fremont,Notes
2043,300,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2042,299,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2041,298,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2040,297,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2039,296,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2038,295,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2037,294,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2036,293,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2035,292,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2034,291,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2033,290,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2032,289,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2031,288,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2030,287,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2029,286,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2028,285,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2027,284,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2026,283,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2025,282,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2024,281,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2023,280,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2022,279,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2021,278,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2020,277,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2019,276,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2018,275,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2017,274,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2016,273,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2015,272,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2014,271,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2013,270,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2012,269,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2011,268,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2010,267,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2009,266,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2008,265,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2007,264,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2006,263,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2005,262,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2004,261,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2003,260,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2002,259,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2001,258,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
2000,257,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1999,256,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1998,255,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1997,254,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1996,253,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1995,252,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1994,251,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1993,250,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1992,249,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1991,248,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1990,247,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1989,246,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1988,245,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1987,244,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1986,243,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1985,242,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1984,241,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1983,240,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1982,239,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1981,238,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1980,237,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1979,236,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1978,235,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1977,234,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1976,233,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1975,232,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1974,231,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1973,230,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1972,229,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1971,228,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1970,227,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1969,226,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1968,225,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1967,224,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1966,223,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1965,222,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1964,221,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1963,220,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1962,219,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1961,218,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1960,217,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1959,216,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1958,215,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1957,214,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1956,213,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1955,212,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1954,211,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1953,210,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1952,209,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1951,208,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1950,207,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1949,206,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1948,205,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1947,204,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1946,203,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1945,202,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1944,201,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1943,200,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1942,199,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1941,198,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1940,197,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1939,196,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1938,195,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1937,194,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1936,193,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1935,192,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1934,191,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1933,190,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1932,189,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1931,188,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1930,187,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1929,186,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1928,185,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1927,184,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1926,183,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1925,182,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1924,181,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1923,180,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1922,179,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1921,178,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1920,177,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1919,176,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1918,175,El Cerrito del Norte,El Cerrito Plaza,1,1,0,0,0,0,0,0,0,0,0,0,0,
1917,174,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1916,173,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1915,172,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1914,171,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1913,170,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1912,169,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1911,168,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1910,167,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1909,166,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1908,165,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1907,164,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1906,163,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1905,162,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1904,161,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1903,160,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1902,159,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1901,158,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1900,157,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1899,156,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1898,155,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1897,154,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1896,153,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1895,152,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1894,151,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1893,150,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1892,149,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1891,148,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1890,147,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1889,146,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1888,145,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1887,144,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1886,143,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1885,142,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1884,141,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1883,140,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1882,139,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1881,138,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
