Table 9.  Superdistrict to Superdistrict Trip Summary by Mode - Total Trips,,,,,,,,,,,,
,,,,,,,,,,,,
"Superdistrict 
of Production","Superdistrict 
of Attraction",Vehicle Driver,"Vehicle 
Passenger","Drive 
Alone","Shared 
Ride 2","Shared 
Ride 3+","School 
Bus",Transit,Bike,Walk,Other,"Total 
Modes"
13,14,"5,743","1,957","4,685","1,069","1,947",0,140,0,70,679,"8,589"
13,15,"1,157",182,"1,087",42,210,0,0,0,0,48,"1,387"
13,16,"5,652","1,431","4,301","1,865",917,0,0,0,0,64,"7,147"
13,17,427,0,427,0,0,131,0,0,0,131,689
13,18,254,302,121,302,133,0,545,0,0,133,"1,234"
13,19,425,40,344,121,0,0,0,0,0,0,465
13,21,155,618,0,309,464,0,0,0,0,0,773
13,22,69,0,69,0,0,0,0,0,0,0,69
13,23,239,253,95,69,328,0,0,0,0,0,492
13,24,67,0,0,67,0,0,0,0,0,0,67
13,25,122,0,122,0,0,0,0,0,0,0,122
13,26,0,349,0,0,349,0,0,0,0,0,349
13,33,217,0,217,0,0,0,0,0,0,0,217
13,34,58,0,58,0,0,0,0,0,0,0,58
14,1,133,257,85,77,229,0,0,0,0,0,390
14,3,113,0,113,0,0,0,0,0,0,0,113
14,7,378,114,378,114,0,0,314,0,0,27,833
14,8,"1,304",463,788,665,315,0,426,0,0,0,"2,193"
14,9,"12,676","1,060","10,949","1,968",819,0,967,0,0,0,"14,703"
14,10,"4,349","3,017","3,190","3,033","1,143",0,0,46,0,0,"7,412"
14,11,"12,657","1,472","9,971","3,263",895,0,"1,244",0,0,0,"15,373"
14,12,"2,946",444,"2,700",359,330,0,"1,760",0,0,0,"5,150"
14,13,"8,012","4,361","4,012","2,930","5,430",332,834,0,352,288,"14,179"
14,14,"105,049","60,244","58,977","50,755","55,561","2,861",61,"3,402","7,993","1,816","181,426"
14,15,"1,649",0,233,"1,416",0,0,0,0,0,0,"1,649"
14,16,980,0,931,50,0,0,0,0,0,0,980
14,17,222,0,222,0,0,0,0,0,0,0,222
14,18,261,939,261,939,0,0,0,0,0,0,"1,200"
14,19,151,0,66,0,86,0,0,0,0,0,151
14,21,197,0,197,0,0,0,0,0,0,0,197
14,23,107,0,107,0,0,0,0,0,0,0,107
14,24,88,0,0,88,0,0,0,0,0,0,88
14,25,86,0,0,0,86,0,0,0,0,0,86
14,26,28,0,28,0,0,0,0,0,0,0,28
14,29,33,0,33,0,0,0,0,0,0,0,33
14,30,33,0,33,0,0,0,0,0,0,0,33
15,1,"2,282",806,"1,081",87,"1,920",0,"5,702",0,578,112,"9,480"
15,2,94,334,48,0,380,0,491,0,0,0,919
15,3,"1,202",0,"1,202",0,0,0,399,0,0,0,"1,601"
15,4,136,0,136,0,0,0,351,0,0,0,487
15,5,"2,034",567,"1,550",148,904,0,0,0,0,0,"2,601"
15,6,994,77,738,333,0,0,77,0,0,0,"1,148"
15,7,"2,039",875,"1,896","1,018",0,0,88,0,0,231,"3,233"
15,8,"1,603",92,"1,516",180,0,0,0,0,0,0,"1,695"
15,9,"6,949",749,"6,137",863,698,0,"1,525",0,0,205,"9,428"
15,10,"1,178",0,829,349,0,0,210,0,0,0,"1,388"
15,11,"2,897",897,"2,336",551,908,0,125,0,0,0,"3,919"
15,12,"4,037",103,"3,751",182,206,0,0,0,0,0,"4,140"
15,13,210,0,210,0,0,0,0,0,0,48,258
15,14,115,52,75,40,52,0,0,0,0,0,167
15,15,"254,045","121,717","167,840","106,028","101,893",383,"2,686","11,711","38,349","2,483","431,374"
15,16,"9,027","1,725","7,263","1,535","1,954",0,125,0,105,300,"11,282"
15,17,"15,483","3,007","12,127","4,073","2,290",207,0,0,129,0,"18,826"
15,18,"6,974","1,077","5,651","1,968",432,0,"1,085",0,0,35,"9,171"
15,19,"2,387",417,"2,119",656,29,0,270,0,0,0,"3,074"
15,20,"1,292",993,"1,247","1,038",0,0,0,300,0,0,"2,585"
15,21,"3,130",547,"2,741",184,752,0,0,0,56,0,"3,733"
15,22,"5,128","2,593","3,151","1,906","2,664",0,0,0,0,0,"7,721"
15,23,"19,887","5,990","13,324","6,280","6,274",0,0,0,0,58,"25,935"
15,24,836,363,622,123,454,0,0,0,0,0,"1,199"
15,25,451,0,325,125,0,0,0,0,0,0,451
15,26,140,113,27,227,0,0,0,0,0,0,253
15,28,24,0,24,0,0,0,0,0,0,0,24
15,29,0,23,0,23,0,0,0,0,0,0,23
15,30,0,150,0,0,150,0,0,0,0,0,150
15,31,47,0,47,0,0,0,0,0,0,0,47
15,32,77,0,77,0,0,0,0,0,0,0,77
15,33,65,0,65,0,0,0,0,0,0,0,65
15,34,164,54,112,107,0,0,0,0,0,0,218
16,1,835,641,604,459,414,0,"11,344",0,324,0,"13,144"
16,2,345,"1,529",345,"1,095",435,0,758,0,0,0,"2,632"
16,3,448,"1,227",39,0,"1,636",0,"3,955",0,0,0,"5,630"
16,4,205,614,0,0,818,0,0,0,0,0,819
16,5,"3,597",50,"3,097",500,50,0,0,0,0,0,"3,647"
16,6,"7,483","4,517","4,480","3,834","3,686",0,0,0,166,4,"12,170"
16,7,"15,437","5,021","10,047","6,019","4,392",0,154,0,0,160,"20,772"
16,8,"13,511","3,983","8,661","7,612","1,222",0,531,158,127,0,"18,310"
16,9,"42,549","7,603","34,581","9,464","6,107",0,"1,887",0,361,686,"53,086"
16,10,"9,113","2,792","6,750","1,934","3,221",730,0,0,0,0,"12,635"
16,11,"6,957","2,863","5,974","1,350","2,497",0,0,0,705,0,"10,525"
16,12,"17,002","3,515","13,267","4,678","2,572",0,250,0,0,304,"21,071"
16,13,"2,258",344,"1,888",714,0,0,0,0,0,356,"2,958"
16,14,514,0,514,0,0,0,0,0,0,0,514
16,15,"7,871","2,294","6,437","2,172","1,555",0,0,0,0,205,"10,370"
16,16,"346,151","197,855","211,086","150,604","182,316","7,790","7,770","7,211","66,279","2,349","635,405"
16,17,"46,174","16,531","31,286","18,934","12,486",0,"2,365",63,"1,596",0,"66,729"
16,18,"13,801","1,622","10,137","4,748",538,0,"3,115",0,0,0,"18,538"
16,19,"1,677","1,015","1,268",989,435,0,"2,130",0,0,0,"4,822"
16,20,"1,045",0,738,0,307,0,0,60,0,0,"1,105"
16,21,"1,073",79,756,235,161,0,82,0,105,0,"1,339"
16,22,"2,560",535,"1,336","1,759",0,0,0,0,0,0,"3,095"
16,23,"4,929",416,"4,230",542,574,0,0,0,0,0,"5,345"
16,24,215,0,215,0,0,0,0,0,0,0,215
16,25,356,0,356,0,0,0,0,0,0,0,356
16,26,115,0,115,0,0,0,0,0,0,0,115
16,30,343,72,0,416,0,0,0,0,0,0,415
16,32,79,238,0,238,79,0,0,0,0,0,317
16,34,87,0,87,0,0,0,0,0,0,0,87
17,1,"2,820","2,488","1,925",518,"2,866",0,"15,571",0,373,0,"21,252"
17,2,"1,175",403,248,891,440,0,985,0,0,0,"2,563"
17,3,"4,259",0,"2,627","1,270",362,0,885,0,60,0,"5,204"
17,4,281,0,281,0,0,0,206,0,0,0,487
17,5,"5,296",0,"4,849",372,75,0,49,0,0,0,"5,345"
17,6,"7,207",500,"6,364","1,089",254,0,0,0,0,0,"7,707"
17,7,"6,308",513,"5,489","1,333",0,0,274,0,0,0,"7,095"
17,8,"4,179",0,"3,755",424,0,0,0,0,0,0,"4,179"
17,9,"9,783","3,795","8,888",791,"3,899",0,824,0,0,590,"14,992"
17,10,409,221,188,0,442,0,0,0,0,0,630
17,11,"2,275","1,209","1,815","1,411",258,0,0,0,94,0,"3,578"
17,12,"1,269",0,"1,146",123,0,0,73,0,0,0,"1,342"
17,13,419,640,419,640,0,0,0,0,0,0,"1,059"
17,15,"27,811","7,498","20,217","6,339","8,752",0,318,187,0,0,"35,814"
17,16,"38,930","9,069","30,400","12,959","4,640",223,558,0,0,111,"48,891"
17,17,"363,849","195,927","235,638","155,745","168,393","6,278","28,738","3,434","83,887","7,803","689,916"
17,18,"45,105","16,234","35,337","13,947","12,054",0,"6,638",359,493,"1,128","69,957"
17,19,"10,912","2,942","7,487","3,259","3,108",0,"5,769",0,42,124,"19,789"
17,20,"3,895",742,"2,951",203,"1,483",0,42,0,0,0,"4,679"
17,21,"2,752",276,"2,050",941,36,0,0,0,0,63,"3,091"
17,22,"5,158","1,011","3,422","1,495","1,252",0,99,0,0,0,"6,268"
17,23,"8,622","2,355","7,635",917,"2,425",0,0,0,109,0,"11,086"
17,24,209,173,36,345,0,0,0,0,0,0,382
17,25,179,79,100,157,0,0,0,0,0,0,258
17,26,671,705,0,64,"1,312",0,0,0,0,0,"1,376"
17,28,121,0,121,0,0,0,0,0,0,0,121
17,29,229,83,229,83,0,0,0,0,0,0,312
17,31,0,73,0,0,73,0,0,0,0,0,73
17,33,77,0,77,0,0,0,0,0,0,0,77
17,34,141,141,47,235,0,0,0,0,0,0,282
18,1,"12,873","6,111","9,844","3,366","5,773",0,"51,388",77,"3,389",326,"74,164"
18,2,"2,962","1,722","2,374","2,080",230,0,"4,548",0,0,0,"9,232"
18,3,"7,135","7,498","4,850","1,226","8,558",0,"4,011",0,316,0,"18,960"
18,4,"1,400",89,"1,198",0,291,0,"1,433",0,0,101,"3,023"
18,5,"2,725","1,717","1,582",325,"2,535",0,"1,205",0,0,0,"5,647"
18,6,"2,507",393,"2,122",452,327,0,336,0,203,0,"3,439"
18,7,"2,992",360,"2,700",412,240,0,492,192,0,0,"4,036"
18,8,"1,611",262,"1,358",514,0,0,0,0,0,0,"1,873"
18,9,"3,249",372,"3,212",372,37,0,"1,916",0,0,0,"5,537"
18,10,695,0,569,126,0,0,291,0,0,0,986
18,11,"2,038",922,"1,803",580,578,0,675,0,37,0,"3,672"
18,12,913,0,913,0,0,0,0,0,0,0,913
18,13,225,0,225,0,0,0,0,0,0,0,225
18,14,341,0,341,0,0,0,0,0,0,0,341
18,15,"10,142","1,258","8,979","1,509",911,0,97,0,0,0,"11,497"
18,16,"4,659","3,587","3,733","3,548",965,0,"4,592",0,0,679,"13,517"
18,17,"63,608","16,923","48,004","15,435","17,092",0,"5,342",0,623,67,"86,563"
18,18,"366,186","164,921","255,477","142,513","133,117","1,312","91,730","28,761","189,090","8,315","850,315"
18,19,"64,668","42,339","43,349","27,350","36,308",0,"16,863","1,750","3,503",429,"129,552"
18,20,"12,082","2,482","9,752","3,971",841,227,"2,553",0,199,43,"17,586"
18,21,"6,729","3,077","4,658","1,088","4,059",0,70,0,0,110,"9,986"
18,22,"9,954","3,260","7,122","2,292","3,799",0,729,0,599,0,"14,542"
18,23,"3,288",84,"2,824",493,55,0,256,0,0,0,"3,628"
18,24,"2,254",61,"2,021",294,0,0,677,0,0,0,"2,992"
18,25,"1,789",558,"1,678",273,395,0,39,0,39,0,"2,425"
18,26,"1,825","1,110",714,0,"2,221",0,0,0,0,0,"2,935"
18,27,119,0,119,0,0,0,0,0,0,0,119
18,29,274,157,240,53,139,0,0,0,0,0,431
18,30,119,70,49,141,0,0,459,0,179,0,827
18,32,449,93,449,93,0,0,0,0,0,0,542
18,33,851,139,803,187,0,0,0,0,39,0,"1,029"
18,34,"1,489",149,"1,263",298,77,0,137,0,70,0,"1,845"
19,1,"5,813","2,991","3,561","3,837","1,406",0,"13,690",294,"1,572",431,"24,791"
19,2,"2,656","1,896","1,893","1,068","1,590",0,"1,269",186,189,35,"6,231"
19,3,"3,827","2,083","2,392","2,029","1,490",0,"3,150",0,158,117,"9,335"
19,4,249,0,225,23,0,0,422,0,47,0,718
19,5,"1,557",86,"1,164",265,214,0,503,0,0,45,"2,191"
19,6,798,264,512,361,189,0,89,0,0,0,"1,151"
19,7,637,381,470,362,186,0,0,0,0,0,"1,018"
19,8,"1,147",327,980,259,235,0,105,0,0,0,"1,579"
19,9,810,"1,024",530,77,"1,226",0,220,0,0,35,"2,089"
19,10,380,0,150,230,0,0,0,0,0,0,380
19,11,210,118,119,182,27,0,105,0,0,0,433
19,12,628,701,571,114,644,0,0,0,0,0,"1,329"
19,13,0,0,0,0,0,0,0,203,105,0,308
19,15,"1,476",230,"1,376",329,0,0,379,0,0,35,"2,120"
19,16,964,0,903,61,0,0,343,0,0,0,"1,307"
19,17,"5,349","1,252","4,233",444,"1,924",0,312,0,0,80,"6,993"
19,18,"36,291","15,782","25,279","16,222","10,572",0,"8,925","3,400","4,764",101,"69,263"
19,19,"154,132","70,332","104,801","67,681","51,983",424,"16,359","30,973","120,318","12,401","404,939"
19,20,"23,515","9,472","15,572","10,943","6,472",29,"1,793",664,788,122,"36,383"
19,21,"4,215","1,479","2,605",267,"2,822",0,611,0,27,0,"6,332"
19,22,"4,825","1,952","3,013","1,216","2,548",0,82,70,109,162,"7,200"
19,23,"2,074",373,"1,674",595,178,0,67,0,0,0,"2,514"
19,24,371,58,313,117,0,0,0,0,0,0,429
19,25,755,107,602,213,46,0,33,0,0,0,895
19,26,654,257,599,21,290,0,0,0,0,0,911
19,27,43,39,43,0,39,0,0,77,0,0,159
19,28,709,59,118,650,0,0,0,0,118,0,886
19,29,142,0,142,0,0,0,0,0,0,0,142
19,30,268,170,213,225,0,0,459,0,0,0,897
19,31,0,33,0,33,0,0,0,0,0,0,33
19,32,891,42,891,42,0,0,0,0,0,0,933
19,33,"1,900",496,"1,740",464,192,0,0,0,27,0,"2,423"
19,34,832,27,784,75,0,0,0,139,73,0,"1,071"
20,1,"7,262","1,738","3,510",696,"4,795",0,"10,532",0,"2,869",905,"23,306"
20,2,"2,237","3,260","1,093","1,355","3,048",0,"1,188",0,0,0,"6,685"
20,3,"2,543","1,385","1,511","1,563",853,0,"1,634",0,"1,400",0,"6,962"
20,4,572,999,476,194,902,0,"1,137",0,902,0,"3,610"
20,5,"2,837",694,"2,083","1,069",379,0,67,0,0,0,"3,598"
20,6,288,0,288,0,0,0,421,0,0,0,709
20,7,666,296,508,159,296,0,67,0,0,0,"1,029"
20,8,702,0,667,35,0,0,0,0,0,0,702
20,9,426,0,401,0,25,0,64,0,0,0,490
20,10,35,0,35,0,0,0,0,0,0,0,35
20,12,281,0,254,27,0,0,0,0,0,0,281
20,13,50,0,50,0,0,0,0,0,0,0,50
20,15,"2,945","3,121","1,730",235,"4,100",0,805,0,0,47,"6,918"
20,16,"1,234",0,"1,234",0,0,0,0,0,0,0,"1,234"
20,17,"2,589",633,"1,812","1,078",333,0,404,0,74,0,"3,700"
20,18,"18,030","5,427","14,999","5,239","3,218",0,"11,851",0,"1,508",50,"36,866"
20,19,"48,867","18,164","34,366","21,702","10,962",80,"9,668","1,618","1,591",29,"80,017"
20,20,"197,489","94,519","132,070","82,655","77,284","3,830","20,706","2,081","47,708","6,160","372,493"
20,21,"12,433","6,628","8,584","4,145","6,332",0,743,0,175,589,"20,568"
20,22,"10,526","2,263","8,483","2,667","1,640",0,127,0,0,0,"12,916"
20,23,"3,279",451,"2,835",768,127,0,0,0,0,0,"3,730"
20,24,"1,517",68,"1,200",135,250,0,0,0,0,0,"1,585"
20,25,"5,455","2,359","4,511","1,066","2,237",0,0,0,0,273,"8,087"
20,26,976,707,642,53,988,0,0,0,0,0,"1,683"
20,27,325,243,204,0,364,0,0,0,0,0,568
20,28,667,0,105,562,0,0,0,0,0,0,667
20,29,"1,918",104,"1,006","1,015",0,0,0,0,0,0,"2,022"
20,30,"1,247",0,"1,201",46,0,0,0,0,0,0,"1,247"
20,31,32,0,0,32,0,0,0,0,0,0,32
20,32,"1,757",244,"1,064",937,0,0,0,0,0,0,"2,001"
20,33,"3,252",418,"2,795",743,131,0,178,0,0,129,"3,977"
20,34,"4,724","1,218","3,856","2,023",64,0,0,0,0,0,"5,942"
21,1,"4,600",969,"3,460","1,864",245,0,"17,691",0,153,59,"23,472"
21,2,882,142,217,125,682,0,564,0,0,0,"1,588"
21,3,"1,481",278,983,569,206,0,"1,389",0,0,0,"3,148"
21,4,251,63,251,63,0,0,52,0,0,0,366
21,5,"2,467",462,"1,812",290,827,0,133,0,0,0,"3,062"
21,6,639,0,639,0,0,0,0,0,0,0,639
21,7,264,0,264,0,0,0,0,0,64,0,328
21,8,840,0,739,101,0,0,0,0,0,0,840
21,9,572,662,382,209,642,0,191,0,0,0,"1,425"
21,10,923,0,874,49,0,0,0,0,0,0,923
21,11,439,63,312,190,0,0,0,0,0,0,502
21,12,478,0,339,0,139,0,0,0,0,0,478
21,13,91,0,91,0,0,0,0,0,0,0,91
21,14,75,35,75,35,0,0,0,0,0,0,110
21,15,"6,484","1,149","5,318","1,334",980,0,0,0,0,0,"7,633"
21,16,"1,479",114,"1,384",210,0,0,0,0,0,0,"1,593"
21,17,"4,088",36,"4,053",35,36,0,0,0,0,0,"4,124"
21,18,"10,406","1,071","8,412","2,691",374,0,"2,426",0,180,110,"14,193"
21,19,"5,506",727,"4,755",752,726,0,"2,226",0,64,0,"8,523"
21,20,"8,638","1,507","7,003",789,"2,353",0,331,0,337,166,"10,979"
21,21,"269,479","142,561","175,927","111,548","124,566","1,195","5,046","3,286","38,565","1,752","461,884"
21,22,"63,630","26,692","46,974","23,974","19,374",116,"1,468",959,"2,118","1,401","96,384"
21,23,"10,273","1,241","7,815","2,583","1,117",0,641,0,196,153,"12,504"
21,24,"17,718","8,827","12,665","6,010","7,870",0,164,0,253,421,"27,383"
21,25,"5,091",817,"4,828",393,688,0,0,0,0,0,"5,908"
21,26,"2,070",832,"1,580",567,755,0,0,0,75,0,"2,977"
21,27,515,0,482,33,0,0,0,0,0,0,515
21,28,0,209,0,209,0,0,0,0,0,0,209
21,29,314,0,257,57,0,0,0,0,0,0,314
21,31,67,0,67,0,0,0,0,0,0,0,67
21,32,211,0,116,94,0,0,0,0,0,0,211
21,33,787,0,622,72,92,0,294,0,0,0,"1,081"
21,34,919,282,801,400,0,0,0,0,0,0,"1,201"
22,1,"6,097","2,074","4,082","3,279",809,0,"13,156",0,820,53,"22,200"
22,2,896,543,386,936,117,0,850,0,0,0,"2,289"
22,3,652,235,417,377,94,0,372,0,0,0,"1,259"
22,4,745,828,411,161,"1,001",0,460,0,0,0,"2,033"
22,5,842,494,698,367,271,0,277,0,0,0,"1,613"
22,6,"1,573",349,"1,329",69,523,0,0,0,0,0,"1,922"
22,7,910,35,810,135,0,0,86,0,0,49,"1,080"
22,8,974,69,905,138,0,0,0,0,0,0,"1,043"
22,9,984,395,821,138,421,0,0,0,0,0,"1,379"
22,10,353,88,353,88,0,0,0,0,0,0,441
22,11,149,0,149,0,0,0,0,0,0,0,149
22,12,226,0,226,0,0,0,0,0,0,0,226
22,13,242,35,207,69,0,0,0,0,0,0,277
22,14,52,52,0,104,0,0,0,0,0,0,104
22,15,"5,300",712,"4,316","1,598",99,0,0,0,0,0,"6,012"
22,16,"1,639",35,"1,556",117,0,0,0,0,0,0,"1,674"
22,17,"3,456",388,"2,807",505,531,0,99,0,0,0,"3,943"
22,18,"11,961","2,283","8,910","3,640","1,695",0,"2,672",0,0,103,"17,019"
22,19,"10,494","6,136","6,895","2,030","7,704",0,"1,075",0,146,35,"17,886"
22,20,"3,262","1,672","2,647",594,"1,693",0,332,0,0,153,"5,419"
22,21,"47,389","13,854","36,079","12,580","12,585",0,"1,185",225,271,411,"63,335"
22,22,"183,019","81,096","126,092","73,686","64,337","2,201","2,190","2,780","28,155","1,945","301,386"
22,23,"13,797","4,005","10,818","5,030","1,953",0,0,0,483,81,"18,366"
22,24,"3,623",516,"3,055",862,222,0,251,0,0,48,"4,438"
22,25,"1,488",153,"1,488",35,118,0,35,0,0,0,"1,676"
22,26,891,124,653,260,103,0,0,0,0,0,"1,015"
22,27,258,122,188,157,35,0,0,0,0,0,380
22,28,143,0,108,35,0,0,0,0,0,35,178
22,29,289,100,190,199,0,0,0,0,0,0,389
22,30,204,85,84,205,0,0,0,0,0,0,289
22,31,365,149,266,199,49,0,0,0,0,0,514
22,32,175,0,175,0,0,0,0,0,0,0,175
22,33,504,392,201,328,367,0,0,0,0,0,896
22,34,191,580,191,0,580,0,0,0,0,0,771
23,1,"1,213",397,926,684,0,0,"2,653",0,0,135,"4,398"
23,2,159,0,84,75,0,0,0,0,0,0,159
23,3,715,0,715,0,0,0,52,0,0,0,767
23,5,"1,038",245,852,0,431,0,0,0,0,0,"1,283"
23,6,221,0,221,0,0,0,0,0,0,0,221
23,7,519,72,447,145,0,0,0,0,0,0,591
23,8,672,0,594,78,0,0,0,0,0,0,672
23,9,"5,816",330,"5,708",439,0,0,217,0,0,0,"6,363"
23,10,492,0,425,67,0,0,0,0,0,0,492
23,11,"1,678",421,942,421,736,0,0,0,0,0,"2,099"
23,12,455,600,333,600,122,0,0,0,0,0,"1,055"
23,13,67,0,0,67,0,0,0,0,0,0,67
23,14,144,0,144,0,0,0,0,0,0,0,144
23,15,"32,376","10,839","24,023","8,878","10,314",0,0,0,0,58,"43,273"
23,16,"5,654","1,421","3,588","1,740","1,747",0,0,0,0,0,"7,075"
23,17,"5,908","3,651","3,754","1,915","3,889",0,573,0,0,0,"10,132"
23,18,"8,157","2,774","6,714","1,333","2,884",0,"1,248",0,329,0,"12,508"
23,19,"3,010",851,"1,663","1,858",339,0,67,0,47,0,"3,975"
23,20,633,66,504,195,0,0,0,0,0,0,699
23,21,"11,041","3,042","8,338","3,986","1,759",0,0,59,157,0,"14,299"
23,22,"22,340","7,186","17,576","5,780","6,170",0,0,0,110,128,"29,764"
23,23,"141,599","74,263","97,820","51,775","66,266","1,738",765,"2,548","13,286","1,433","235,632"
23,24,"1,819",109,"1,680",187,61,0,0,0,0,0,"1,928"
23,25,387,0,387,0,0,0,0,0,0,0,387
23,26,403,247,234,338,78,0,0,0,0,0,650
23,27,338,0,338,0,0,0,0,0,0,0,338
23,30,135,0,135,0,0,0,0,0,0,0,135
23,32,349,0,270,79,0,0,0,0,0,0,349
23,33,71,0,71,0,0,0,0,0,0,0,71
23,34,536,219,254,135,365,0,0,0,0,0,755
24,1,"1,003",192,792,105,297,0,"3,315",148,"1,658",0,"6,316"
24,2,"1,802","1,013",789,"2,026",0,0,179,0,0,0,"2,994"
24,3,"1,214","1,013",109,0,"2,118",0,154,0,0,0,"2,381"
24,5,"2,572",0,"2,346",0,227,0,114,0,0,0,"2,686"
24,6,"1,675",0,"1,675",0,0,0,0,0,0,0,"1,675"
24,7,347,0,347,0,0,0,0,0,0,0,347
24,8,266,0,39,227,0,0,0,0,89,0,355
24,9,"1,339",0,776,563,0,0,253,0,0,0,"1,592"
24,11,970,0,547,0,423,0,0,0,0,0,970
24,12,"1,292",537,916,662,250,0,0,0,0,0,"1,829"
24,13,155,0,155,0,0,0,0,0,0,0,155
24,14,265,0,177,88,0,0,0,0,0,0,265
24,15,"9,643",770,"8,269",825,"1,319",0,158,0,0,0,"10,571"
24,16,"1,960",0,"1,789",172,0,0,72,0,0,0,"2,032"
24,17,"4,109",176,"3,943",342,0,0,0,0,0,0,"4,285"
24,18,"9,791",321,"8,677",797,638,0,"1,643",0,0,0,"11,755"
24,19,"1,803",199,"1,587",415,0,0,842,0,0,0,"2,844"
24,20,"6,526",888,"5,382","1,206",826,0,0,0,0,0,"7,414"
24,21,"41,876","12,557","32,368","7,855","14,210","6,447","1,249",0,775,204,"63,108"
24,22,"16,499","5,397","11,670","3,401","6,825",0,860,0,0,48,"22,804"
24,23,"4,704",844,"3,795","1,150",603,0,0,0,0,0,"5,548"
24,24,"212,406","172,445","125,792","92,273","166,785","4,893","1,251","4,589","41,833","1,350","438,767"
24,25,"3,784","7,754","3,623",202,"7,713",0,0,0,0,0,"11,538"
24,26,959,89,779,142,128,0,0,0,0,0,"1,048"
24,28,177,0,177,0,0,0,0,0,0,0,177
24,29,476,577,40,333,681,0,0,0,0,0,"1,053"
24,30,72,88,36,36,88,0,0,0,0,0,160
24,31,72,72,0,145,0,0,0,0,0,0,144
24,33,161,563,36,385,303,0,0,0,77,0,801
24,34,0,0,0,0,0,0,68,0,0,0,68
25,1,"2,431","2,471","1,733",680,"2,489",0,"3,158",0,187,0,"8,247"
25,2,"1,440",555,332,0,"1,663",0,0,0,0,0,"1,995"
25,3,"1,589","1,281",887,719,"1,264",0,294,0,0,0,"3,164"
25,4,293,35,293,35,0,0,177,0,0,0,505
25,5,"1,688",386,"1,665",61,349,0,0,0,0,0,"2,074"
25,6,250,0,250,0,0,0,0,0,0,0,250
25,8,328,0,328,0,0,0,0,0,0,0,328
25,9,70,0,70,0,0,0,0,0,0,0,70
25,10,35,122,35,0,122,0,0,0,0,0,157
25,11,265,265,0,531,0,0,221,0,0,0,751
25,12,70,0,70,0,0,0,0,0,0,0,70
25,14,218,0,218,0,0,0,0,0,0,0,218
25,15,"2,380",70,"2,056",394,0,0,0,0,0,0,"2,450"
25,16,"1,714",981,242,981,"1,472",0,0,0,0,0,"2,695"
25,17,"2,614",0,"2,614",0,0,0,0,0,0,0,"2,614"
25,18,"5,312","2,386","4,538","1,253","1,907",0,178,0,0,0,"7,876"
25,19,"2,144",584,"1,645",919,164,0,978,138,109,0,"3,953"
25,20,"8,423",956,"7,307","1,153",920,0,0,0,0,0,"9,379"
25,21,"18,327","7,750","14,004","2,659","9,414",0,71,150,0,0,"26,298"
25,22,"2,347",933,"2,051",857,372,0,0,0,0,0,"3,280"
25,23,"1,315",0,"1,315",0,0,0,0,0,0,0,"1,315"
25,24,713,41,642,41,71,0,0,0,0,0,754
25,25,"134,842","86,991","89,862","56,316","75,655","4,992","10,176","1,623","29,179","1,927","269,730"
25,26,"11,967","1,239","9,537","3,065",605,0,0,0,0,0,"13,206"
25,27,"6,093","1,671","4,790","2,086",889,0,0,46,0,279,"8,089"
25,28,899,669,564,109,894,0,0,0,0,0,"1,568"
25,29,"1,043",58,985,116,0,0,0,0,0,0,"1,101"
25,30,373,0,318,0,55,0,0,0,0,0,373
25,31,95,0,95,0,0,0,0,0,0,0,95
25,32,522,142,381,283,0,0,0,0,0,0,664
25,33,"1,781","1,264",742,"2,165",139,338,0,0,0,338,"3,721"
25,34,311,0,311,0,0,0,0,0,0,0,311
26,1,"2,597",203,"1,504",235,"1,062",546,886,0,228,0,"4,460"
26,2,"1,392",109,964,538,0,0,0,0,0,0,"1,501"
26,3,"1,213","1,220",776,"1,500",156,0,0,0,0,38,"2,471"
26,5,"2,861",977,"2,282",591,965,0,210,0,0,0,"4,048"
26,6,19,0,10,10,0,0,0,0,0,0,19
26,7,205,0,205,0,0,0,0,0,0,0,205
26,8,37,39,37,39,0,0,0,0,0,0,76
26,9,838,0,691,0,147,0,0,42,0,228,"1,108"
26,11,75,0,75,0,0,0,0,0,0,0,75
26,12,150,88,150,0,88,0,0,0,0,0,238
26,13,"1,033",232,"1,033",0,232,0,0,0,0,0,"1,265"
26,15,453,0,356,97,0,0,0,0,0,0,453
26,16,38,38,0,76,0,0,0,0,0,0,76
26,17,930,118,427,620,0,0,0,0,0,0,"1,048"
26,18,"5,796","2,383","4,448","2,396","1,334",0,"1,445",118,0,0,"9,742"
26,19,"2,915",97,"1,733",841,439,0,339,0,0,0,"3,351"
26,20,"5,571","1,305","4,354",709,"1,814",0,0,0,0,0,"6,876"
26,21,"8,811","1,324","7,028","1,947","1,161",0,0,0,0,75,"10,210"
26,22,"5,516",416,"3,655","1,853",424,0,0,0,86,0,"6,018"
26,23,987,178,675,226,265,0,0,0,0,0,"1,165"
26,24,"2,559",48,"2,028",579,0,0,0,0,0,0,"2,607"
26,25,"13,313","7,715","8,590","4,830","7,608",0,0,0,40,607,"21,675"
26,26,"275,549","168,122","180,047","111,572","152,052","9,144",605,"7,541","47,132","5,210","513,303"
26,27,"7,810","1,162","6,528","1,588",856,125,0,0,470,0,"9,567"
26,28,466,519,290,664,31,0,0,0,0,0,985
26,29,"1,754",655,879,548,982,0,0,0,0,0,"2,409"
26,30,698,91,575,162,53,0,0,0,0,0,789
26,31,659,0,555,103,0,0,0,0,0,0,659
